NACE,NACE code text,sSpread
G45.1.1,Sale of cars and light motor vehicles,0.01
G45.1.9,Sale of other motor vehicles,0.01
G45.2,Maintenance and repair of motor vehicles,0.01
G45.2.0,Maintenance and repair of motor vehicles,0.01
G45.3,Sale of motor vehicle parts and accessories,0.01
G45.3.1,Wholesale trade of motor vehicle parts and accessories,0.01
G45.3.2,Retail trade of motor vehicle parts and accessories,0.01
G45.4,"Sale, maintenance and repair of motorcycles and related parts and accessories",0.01
G45.4.0,"Sale, maintenance and repair of motorcycles and related parts and accessories",0.01
G46,"Wholesale trade, except of motor vehicles and motorcycles",0.01
G46.1,Wholesale on a fee or contract basis,0.01
G46.1.1,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",0.01
G46.1.2,"Agents involved in the sale of fuels, ores, metals and industrial chemicals",0.01
G46.1.3,Agents involved in the sale of timber and building materials,0.01
G46.1.4,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",0.01
G46.1.5,"Agents involved in the sale of furniture, household goods, hardware and ironmongery",0.01
G46.1.6,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",0.01
G46.1.7,"Agents involved in the sale of food, beverages and tobacco",0.01
G46.1.8,Agents specialised in the sale of other particular products,0.01
G46.1.9,Agents involved in the sale of a variety of goods,0.01
G46.2,Wholesale of agricultural raw materials and live animals,0.01
G46.2.1,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",0.01
G46.2.2,Wholesale of flowers and plants,0.01
G46.2.3,Wholesale of live animals,0.01
G46.2.4,"Wholesale of hides, skins and leather",0.01
G46.3,"Wholesale of food, beverages and tobacco",0.01
G46.3.1,Wholesale of fruit and vegetables,0.01
G46.3.2,Wholesale of meat and meat products,0.01
G46.3.3,"Wholesale of dairy products, eggs and edible oils and fats",0.01
G46.3.4,Wholesale of beverages,0.01
G46.3.5,Wholesale of tobacco products,0.01
G46.3.6,Wholesale of sugar and chocolate and sugar confectionery,0.01
G46.3.7,"Wholesale of coffee, tea, cocoa and spices",0.01
G46.3.8,"Wholesale of other food, including fish, crustaceans and molluscs",0.01
G46.3.9,"Non-specialised wholesale of food, beverages and tobacco",0.01
G46.4,Wholesale of household goods,0.01
G46.4.1,Wholesale of textiles,0.01
G46.4.2,Wholesale of clothing and footwear,0.01
G46.4.3,Wholesale of electrical household appliances,0.01
G46.4.4,Wholesale of china and glassware and cleaning materials,0.01
G46.4.5,Wholesale of perfume and cosmetics,0.01
G46.4.6,Wholesale of pharmaceutical goods,0.01
G46.4.7,"Wholesale of furniture, carpets and lighting equipment",0.01
G46.4.8,Wholesale of watches and jewellery,0.01
G46.4.9,Wholesale of other household goods,0.01
G46.5,Wholesale of information and communication equipment,0.01
G46.5.1,"Wholesale of computers, computer peripheral equipment and software",0.01
G46.5.2,Wholesale of electronic and telecommunications equipment and parts,0.01
G46.6,"Wholesale of other machinery, equipment and supplies",0.01
G46.6.1,"Wholesale of agricultural machinery, equipment and supplies",0.01
G46.6.2,Wholesale of machine tools,0.01
G46.6.3,"Wholesale of mining, construction and civil engineering machinery",0.01
G46.6.4,Wholesale of machinery for the textile industry and of sewing and knitting machines,0.01
G46.6.5,Wholesale of office furniture,0.01
G46.6.6,Wholesale of other office machinery and equipment,0.01
G46.6.9,Wholesale of other machinery and equipment,0.01
G46.7,Other specialised wholesale,0.01
G46.7.1,"Wholesale of solid, liquid and gaseous fuels and related products",0.01
G46.7.2,Wholesale of metals and metal ores,0.01
G46.7.3,"Wholesale of wood, construction materials and sanitary equipment",0.01
G46.7.4,"Wholesale of hardware, plumbing and heating equipment and supplies",0.01
G46.7.5,Wholesale of chemical products,0.01
G46.7.6,Wholesale of other intermediate products,0.01
G46.7.7,Wholesale of waste and scrap,0.01
G46.9,Non-specialised wholesale trade,0.01
G46.9.0,Non-specialised wholesale trade,0.01
G47,"Retail trade, except of motor vehicles and motorcycles",0.01
G47.1,Retail sale in non-specialised stores,0.01
G47.1.1,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",0.01
G47.1.9,Other retail sale in non-specialised stores,0.01
G47.2,"Retail sale of food, beverages and tobacco in specialised stores",0.01
G47.2.1,Retail sale of fruit and vegetables in specialised stores,0.01
G47.2.2,Retail sale of meat and meat products in specialised stores,0.01
G47.2.3,"Retail sale of fish, crustaceans and molluscs in specialised stores",0.01
G47.2.4,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",0.01
G47.2.5,Retail sale of beverages in specialised stores,0.01
G47.2.6,Retail sale of tobacco products in specialised stores,0.01
G47.2.9,Other retail sale of food in specialised stores,0.01
G47.3,Retail sale of automotive fuel in specialised stores,0.01
G47.3.0,Retail sale of automotive fuel in specialised stores,0.01
G47.4,Retail sale of information and communication equipment in specialised stores,0.01
G47.4.1,"Retail sale of computers, peripheral units and software in specialised stores",0.01
G47.4.2,Retail sale of telecommunications equipment in specialised stores,0.01
G47.4.3,Retail sale of audio and video equipment in specialised stores,0.01
G47.5,Retail sale of other household equipment in specialised stores,0.01
G47.5.1,Retail sale of textiles in specialised stores,0.01
G47.5.2,"Retail sale of hardware, paints and glass in specialised stores",0.01
G47.5.3,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores",0.01
G47.5.4,Retail sale of electrical household appliances in specialised stores,0.01
G47.5.9,"Retail sale of furniture, lighting equipment and other household articles in specialised stores",0.01
G47.6,Retail sale of cultural and recreation goods in specialised stores,0.01
G47.6.1,Retail sale of books in specialised stores,0.01
G47.6.2,Retail sale of newspapers and stationery in specialised stores,0.01
G47.6.3,Retail sale of music and video recordings in specialised stores,0.01
G47.6.4,Retail sale of sporting equipment in specialised stores,0.01
G47.6.5,Retail sale of games and toys in specialised stores,0.01
G47.7,Retail sale of other goods in specialised stores,0.01
G47.7.1,Retail sale of clothing in specialised stores,0.01
G47.7.2,Retail sale of footwear and leather goods in specialised stores,0.01
G47.7.3,Dispensing chemist in specialised stores,0.01
G47.7.4,Retail sale of medical and orthopaedic goods in specialised stores,0.01
G47.7.5,Retail sale of cosmetic and toilet articles in specialised stores,0.01
G47.7.6,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",0.01
G47.7.7,Retail sale of watches and jewellery in specialised stores,0.01
G47.7.8,Other retail sale of new goods in specialised stores,0.01
G47.7.9,Retail sale of second-hand goods in stores,0.01
G47.8,Retail sale via stalls and markets,0.01
G47.8.1,"Retail sale via stalls and markets of food, beverages and tobacco products",0.01
G47.8.2,"Retail sale via stalls and markets of textiles, clothing and footwear",0.01
G47.8.9,Retail sale via stalls and markets of other goods,0.01
G47.9,"Retail trade not in stores, stalls or markets",0.01
G47.9.1,Retail sale via mail order houses or via Internet,0.01
G47.9.9,"Other retail sale not in stores, stalls or markets",0.01
H,Transporting and storage,0.01
H49,Land transport and transport via pipelines,0.01
H49.1,"Passenger rail transport, interurban",0.01
H49.1.0,"Passenger rail transport, interurban",0.01
H49.2,Freight rail transport,0.01
H49.2.0,Freight rail transport,0.01
H49.3,Other passenger land transport,0.01
H49.3.1,Urban and suburban passenger land transport,0.01
H49.3.2,Taxi operation,0.01
H49.3.9,Other passenger land transport n.e.c.,0.01
H49.4,Freight transport by road and removal services,0.01
H49.4.1,Freight transport by road,0.01
H49.4.2,Removal services,0.01
H49.5,Transport via pipeline,0.01
H49.5.0,Transport via pipeline,0.01
H50,Water transport,0.01
H50.1,Sea and coastal passenger water transport,0.01
H50.1.0,Sea and coastal passenger water transport,0.01
H50.2,Sea and coastal freight water transport,0.01
H50.2.0,Sea and coastal freight water transport,0.01
H50.3,Inland passenger water transport,0.01
H50.3.0,Inland passenger water transport,0.01
H50.4,Inland freight water transport,0.01
H50.4.0,Inland freight water transport,0.01
H51,Air transport,0.01
H51.1,Passenger air transport,0.01
H51.1.0,Passenger air transport,0.01
H51.2,Freight air transport and space transport,0.01
H51.2.1,Freight air transport,0.01
H51.2.2,Space transport,0.01
H52,Warehousing and support activities for transportation,0.01
H52.1,Warehousing and storage,0.01
H52.1.0,Warehousing and storage,0.01
H52.2,Support activities for transportation,0.01
H52.2.1,Service activities incidental to land transportation,0.01
H52.2.2,Service activities incidental to water transportation,0.01
H52.2.3,Service activities incidental to air transportation,0.01
H52.2.4,Cargo handling,0.01
H52.2.9,Other transportation support activities,0.01
H53,Postal and courier activities,0.01
H53.1,Postal activities under universal service obligation,0.01
H53.1.0,Postal activities under universal service obligation,0.01
H53.2,Other postal and courier activities,0.01
H53.2.0,Other postal and courier activities,0.01
I,Accommodation and food service activities,0.01
I55,Accommodation,0.01
I55.1,Hotels and similar accommodation,0.01
I55.1.0,Hotels and similar accommodation,0.01
I55.2,Holiday and other short-stay accommodation,0.01
I55.2.0,Holiday and other short-stay accommodation,0.01
I55.3,"Camping grounds, recreational vehicle parks and trailer parks",0.01
I55.3.0,"Camping grounds, recreational vehicle parks and trailer parks",0.01
I55.9,Other accommodation,0.01
I55.9.0,Other accommodation,0.01
I56,Food and beverage service activities,0.01
I56.1,Restaurants and mobile food service activities,0.01
I56.1.0,Restaurants and mobile food service activities,0.01
I56.2,Event catering and other food service activities,0.01
I56.2.1,Event catering activities,0.01
I56.2.9,Other food service activities,0.01
I56.3,Beverage serving activities,0.01
I56.3.0,Beverage serving activities,0.01
J,Information and communication,0.01
J58,Publishing activities,0.01
J58.1,"Publishing of books, periodicals and other publishing activities",0.01
J58.1.1,Book publishing,0.01
J58.1.2,Publishing of directories and mailing lists,0.01
J58.1.3,Publishing of newspapers,0.01
J58.1.4,Publishing of journals and periodicals,0.01
J58.1.9,Other publishing activities,0.01
J58.2,Software publishing,0.01
J58.2.1,Publishing of computer games,0.01
J58.2.9,Other software publishing,0.01
J59,"Motion picture, video and television programme production, sound recording and music publishing activities",0.01
J59.1,"Motion picture, video and television programme activities",0.01
J59.1.1,"Motion picture, video and television programme production activities",0.01
J59.1.2,"Motion picture, video and television programme post-production activities",0.01
J59.1.3,"Motion picture, video and television programme distribution activities",0.01
J59.1.4,Motion picture projection activities,0.01
J59.2,Sound recording and music publishing activities,0.01
J59.2.0,Sound recording and music publishing activities,0.01
J60,Programming and broadcasting activities,0.01
J60.1,Radio broadcasting,0.01
J60.1.0,Radio broadcasting,0.01
J60.2,Television programming and broadcasting activities,0.01
J60.2.0,Television programming and broadcasting activities,0.01
J61,Telecommunications,0.01
J61.1,Wired telecommunications activities,0.01
J61.1.0,Wired telecommunications activities,0.01
J61.2,Wireless telecommunications activities,0.01
J61.2.0,Wireless telecommunications activities,0.01
J61.3,Satellite telecommunications activities,0.01
J61.3.0,Satellite telecommunications activities,0.01
J61.9,Other telecommunications activities,0.01
J61.9.0,Other telecommunications activities,0.01
J62,"Computer programming, consultancy and related activities",0.01
J62.0,"Computer programming, consultancy and related activities",0.01
J62.0.1,Computer programming activities,0.01
J62.0.2,Computer consultancy activities,0.01
J62.0.3,Computer facilities management activities,0.01
J62.0.9,Other information technology and computer service activities,0.01
J63,Information service activities,0.01
J63.1,"Data processing, hosting and related activities; web portals",0.01
J63.1.1,"Data processing, hosting and related activities",0.01
J63.1.2,Web portals,0.01
J63.9,Other information service activities,0.01
J63.9.1,News agency activities,0.01
J63.9.9,Other information service activities n.e.c.,0.01
K,Financial and insurance activities,0.01
K64,"Financial service activities, except insurance and pension funding",0.01
K64.1,Monetary intermediation,0.01
K64.1.1,Central banking,0.01
K64.1.9,Other monetary intermediation,0.01
K64.2,Activities of holding companies,0.01
K64.2.0,Activities of holding companies,0.01
K64.3,"Trusts, funds and similar financial entities",0.01
K64.3.0,"Trusts, funds and similar financial entities",0.01
K64.9,"Other financial service activities, except insurance and pension funding",0.01
K64.9.1,Financial leasing,0.01
K64.9.2,Other credit granting,0.01
K64.9.9,"Other financial service activities, except insurance and pension funding n.e.c.",0.01
K65,"Insurance, reinsurance and pension funding, except compulsory social security",0.01
K65.1,Insurance,0.01
K65.1.1,Life insurance,0.01
K65.1.2,Non-life insurance,0.01
K65.2,Reinsurance,0.01
K65.2.0,Reinsurance,0.01
K65.3,Pension funding,0.01
K65.3.0,Pension funding,0.01
K66,Activities auxiliary to financial services and insurance activities,0.01
K66.1,"Activities auxiliary to financial services, except insurance and pension funding",0.01
K66.1.1,Administration of financial markets,0.01
K66.1.2,Security and commodity contracts brokerage,0.01
K66.1.9,"Other activities auxiliary to financial services, except insurance and pension funding",0.01
K66.2,Activities auxiliary to insurance and pension funding,0.01
K66.2.1,Risk and damage evaluation,0.01
K66.2.2,Activities of insurance agents and brokers,0.01
K66.2.9,Other activities auxiliary to insurance and pension funding,0.01
K66.3,Fund management activities,0.01
K66.3.0,Fund management activities,0.01
L,Real estate activities,0.01
L68,Real estate activities,0.01
L68.1,Buying and selling of own real estate,0.01
L68.1.0,Buying and selling of own real estate,0.01
L68.2,Renting and operating of own or leased real estate,0.01
L68.2.0,Renting and operating of own or leased real estate,0.01
L68.3,Real estate activities on a fee or contract basis,0.01
L68.3.1,Real estate agencies,0.01
L68.3.2,Management of real estate on a fee or contract basis,0.01
M,"Professional, scientific and technical activities",0.01
M69,Legal and accounting activities,0.01
M69.1,Legal activities,0.01
M69.1.0,Legal activities,0.01
M69.2,"Accounting, bookkeeping and auditing activities; tax consultancy",0.01
M69.2.0,"Accounting, bookkeeping and auditing activities; tax consultancy",0.01
M70,Activities of head offices; management consultancy activities,0.01
M70.1,Activities of head offices,0.01
M70.1.0,Activities of head offices,0.01
M70.2,Management consultancy activities,0.01
M70.2.1,Public relations and communication activities,0.01
M70.2.2,Business and other management consultancy activities,0.01
M71,Architectural and engineering activities; technical testing and analysis,0.01
M71.1,Architectural and engineering activities and related technical consultancy,0.01
M71.1.1,Architectural activities,0.01
M71.1.2,Engineering activities and related technical consultancy,0.01
M71.2,Technical testing and analysis,0.01
M71.2.0,Technical testing and analysis,0.01
M72,Scientific research and development,0.01
M72.1,Research and experimental development on natural sciences and engineering,0.01
M72.1.1,Research and experimental development on biotechnology,0.01
M72.1.9,Other research and experimental development on natural sciences and engineering,0.01
M72.2,Research and experimental development on social sciences and humanities,0.01
M72.2.0,Research and experimental development on social sciences and humanities,0.01
M73,Advertising and market research,0.01
M73.1,Advertising,0.01
M73.1.1,Advertising agencies,0.01
M73.1.2,Media representation,0.01
M73.2,Market research and public opinion polling,0.01
M73.2.0,Market research and public opinion polling,0.01
M74,"Other professional, scientific and technical activities",0.01
M74.1,Specialised design activities,0.01
M74.1.0,Specialised design activities,0.01
M74.2,Photographic activities,0.01
M74.2.0,Photographic activities,0.01
M74.3,Translation and interpretation activities,0.01
M74.3.0,Translation and interpretation activities,0.01
M74.9,"Other professional, scientific and technical activities n.e.c.",0.01
M74.9.0,"Other professional, scientific and technical activities n.e.c.",0.01
M75,Veterinary activities,0.01
M75.0,Veterinary activities,0.01
M75.0.0,Veterinary activities,0.01
N,Administrative and support service activities,0.01
N77,Rental and leasing activities,0.01
N77.1,Renting and leasing of motor vehicles,0.01
N77.1.1,Renting and leasing of cars and light motor vehicles,0.01
N77.1.2,Renting and leasing of trucks,0.01
N77.2,Renting and leasing of personal and household goods,0.01
N77.2.1,Renting and leasing of recreational and sports goods,0.01
N77.2.2,Renting of video tapes and disks,0.01
N77.2.9,Renting and leasing of other personal and household goods,0.01
N77.3,"Renting and leasing of other machinery, equipment and tangible goods",0.01
N77.3.1,Renting and leasing of agricultural machinery and equipment,0.01
N77.3.2,Renting and leasing of construction and civil engineering machinery and equipment,0.01
N77.3.3,Renting and leasing of office machinery and equipment (including computers),0.01
N77.3.4,Renting and leasing of water transport equipment,0.01
N77.3.5,Renting and leasing of air transport equipment,0.01
N77.3.9,"Renting and leasing of other machinery, equipment and tangible goods n.e.c.",0.01
N77.4,"Leasing of intellectual property and similar products, except copyrighted works",0.01
N77.4.0,"Leasing of intellectual property and similar products, except copyrighted works",0.01
N78,Employment activities,0.01
N78.1,Activities of employment placement agencies,0.01
N78.1.0,Activities of employment placement agencies,0.01
N78.2,Temporary employment agency activities,0.01
N78.2.0,Temporary employment agency activities,0.01
N78.3,Other human resources provision,0.01
N78.3.0,Other human resources provision,0.01
N79,"Travel agency, tour operator and other reservation service and related activities",0.01
N79.1,Travel agency and tour operator activities,0.01
N79.1.1,Travel agency activities,0.01
N79.1.2,Tour operator activities,0.01
N79.9,Other reservation service and related activities,0.01
N79.9.0,Other reservation service and related activities,0.01
N80,Security and investigation activities,0.01
N80.1,Private security activities,0.01
N80.1.0,Private security activities,0.01
N80.2,Security systems service activities,0.01
N80.2.0,Security systems service activities,0.01
N80.3,Investigation activities,0.01
N80.3.0,Investigation activities,0.01
N81,Services to buildings and landscape activities,0.01
N81.1,Combined facilities support activities,0.01
N81.1.0,Combined facilities support activities,0.01
N81.2,Cleaning activities,0.01
N81.2.1,General cleaning of buildings,0.01
N81.2.2,Other building and industrial cleaning activities,0.01
N81.2.9,Other cleaning activities,0.01
N81.3,Landscape service activities,0.01
N81.3.0,Landscape service activities,0.01
N82,"Office administrative, office support and other business support activities",0.01
N82.1,Office administrative and support activities,0.01
N82.1.1,Combined office administrative service activities,0.01
N82.1.9,"Photocopying, document preparation and other specialised office support activities",0.01
N82.2,Activities of call centres,0.01
N82.2.0,Activities of call centres,0.01
N82.3,Organisation of conventions and trade shows,0.01
N82.3.0,Organisation of conventions and trade shows,0.01
N82.9,Business support service activities n.e.c.,0.01
N82.9.1,Activities of collection agencies and credit bureaus,0.01
N82.9.2,Packaging activities,0.01
N82.9.9,Other business support service activities n.e.c.,0.01
O,Public administration and defence; compulsory social security,0.01
O84,Public administration and defence; compulsory social security,0.01
O84.1,Administration of the State and the economic and social policy of the community,0.01
O84.1.1,General public administration activities,0.01
O84.1.2,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",0.01
O84.1.3,Regulation of and contribution to more efficient operation of businesses,0.01
O84.2,Provision of services to the community as a whole,0.01
O84.2.1,Foreign affairs,0.01
O84.2.2,Defence activities,0.01
O84.2.3,Justice and judicial activities,0.01
O84.2.4,Public order and safety activities,0.01
O84.2.5,Fire service activities,0.01
O84.3,Compulsory social security activities,0.01
O84.3.0,Compulsory social security activities,0.01
P,Education,0.01
P85,Education,0.01
P85.1,Pre-primary education,0.01
P85.1.0,Pre-primary education,0.01
P85.2,Primary education,0.01
P85.2.0,Primary education,0.01
P85.3,Secondary education,0.01
P85.3.1,General secondary education,0.01
P85.3.2,Technical and vocational secondary education,0.01
P85.4,Higher education,0.01
P85.4.1,Post-secondary non-tertiary education,0.01
P85.4.2,Tertiary education,0.01
P85.5,Other education,0.01
P85.5.1,Sports and recreation education,0.01
P85.5.2,Cultural education,0.01
P85.5.3,Driving school activities,0.01
P85.5.9,Other education n.e.c.,0.01
P85.6,Educational support activities,0.01
P85.6.0,Educational support activities,0.01
Q,Human health and social work activities,0.01
Q86,Human health activities,0.01
Q86.1,Hospital activities,0.01
Q86.1.0,Hospital activities,0.01
Q86.2,Medical and dental practice activities,0.01
Q86.2.1,General medical practice activities,0.01
Q86.2.2,Specialist medical practice activities,0.01
Q86.2.3,Dental practice activities,0.01
Q86.9,Other human health activities,0.01
Q86.9.0,Other human health activities,0.01
Q87,Residential care activities,0.01
Q87.1,Residential nursing care activities,0.01
Q87.1.0,Residential nursing care activities,0.01
Q87.2,"Residential care activities for mental retardation, mental health and substance abuse",0.01
Q87.2.0,"Residential care activities for mental retardation, mental health and substance abuse",0.01
Q87.3,Residential care activities for the elderly and disabled,0.01
Q87.3.0,Residential care activities for the elderly and disabled,0.01
Q87.9,Other residential care activities,0.01
Q87.9.0,Other residential care activities,0.01
Q88,Social work activities without accommodation,0.01
Q88.1,Social work activities without accommodation for the elderly and disabled,0.01
Q88.1.0,Social work activities without accommodation for the elderly and disabled,0.01
Q88.9,Other social work activities without accommodation,0.01
Q88.9.1,Child day-care activities,0.01
Q88.9.9,Other social work activities without accommodation n.e.c.,0.01
R,"Arts, entertainment and recreation",0.01
R90,"Creative, arts and entertainment activities",0.01
R90.0,"Creative, arts and entertainment activities",0.01
R90.0.1,Performing arts,0.01
R90.0.2,Support activities to performing arts,0.01
R90.0.3,Artistic creation,0.01
R90.0.4,Operation of arts facilities,0.01
R91,"Libraries, archives, museums and other cultural activities",0.01
R91.0,"Libraries, archives, museums and other cultural activities",0.01
R91.0.1,Library and archives activities,0.01
R91.0.2,Museums activities,0.01
R91.0.3,Operation of historical sites and buildings and similar visitor attractions,0.01
R91.0.4,Botanical and zoological gardens and nature reserves activities,0.01
R92,Gambling and betting activities,0.01
R92.0,Gambling and betting activities,0.01
R92.0.0,Gambling and betting activities,0.01
R93,Sports activities and amusement and recreation activities,0.01
R93.1,Sports activities,0.01
R93.1.1,Operation of sports facilities,0.01
R93.1.2,Activities of sport clubs,0.01
R93.1.3,Fitness facilities,0.01
R93.1.9,Other sports activities,0.01
R93.2,Amusement and recreation activities,0.01
R93.2.1,Activities of amusement parks and theme parks,0.01
R93.2.9,Other amusement and recreation activities,0.01
S,Other services activities,0.01
S94,Activities of membership organisations,0.01
S94.1,"Activities of business, employers and professional membership organisations",0.01
S94.1.1,Activities of business and employers membership organisations,0.01
S94.1.2,Activities of professional membership organisations,0.01
S94.2,Activities of trade unions,0.01
S94.2.0,Activities of trade unions,0.01
S94.9,Activities of other membership organisations,0.01
S94.9.1,Activities of religious organisations,0.01
S94.9.2,Activities of political organisations,0.01
S94.9.9,Activities of other membership organisations n.e.c.,0.01
S95,Repair of computers and personal and household goods,0.01
S95.1,Repair of computers and communication equipment,0.01
S95.1.1,Repair of computers and peripheral equipment,0.01
S95.1.2,Repair of communication equipment,0.01
S95.2,Repair of personal and household goods,0.01
S95.2.1,Repair of consumer electronics,0.01
S95.2.2,Repair of household appliances and home and garden equipment,0.01
S95.2.3,Repair of footwear and leather goods,0.01
S95.2.4,Repair of furniture and home furnishings,0.01
S95.2.5,"Repair of watches, clocks and jewellery",0.01
S95.2.9,Repair of other personal and household goods,0.01
S96,Other personal service activities,0.01
S96.0,Other personal service activities,0.01
S96.0.1,Washing and (dry-)cleaning of textile and fur products,0.01
S96.0.2,Hairdressing and other beauty treatment,0.01
S96.0.3,Funeral and related activities,0.01
S96.0.4,Physical well-being activities,0.01
S96.0.9,Other personal service activities n.e.c.,0.01
T,Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use,0.01
T97,Activities of households as employers of domestic personnel,0.01
T97.0,Activities of households as employers of domestic personnel,0.01
T97.0.0,Activities of households as employers of domestic personnel,0.01
T98,Undifferentiated goods- and services-producing activities of private households for own use,0.01
T98.1,Undifferentiated goods-producing activities of private households for own use,0.01
T98.1.0,Undifferentiated goods-producing activities of private households for own use,0.01
T98.2,Undifferentiated service-producing activities of private households for own use,0.01
T98.2.0,Undifferentiated service-producing activities of private households for own use,0.01
U,Activities of extraterritorial organisations and bodies,0.01
U99,Activities of extraterritorial organisations and bodies,0.01
U99.0,Activities of extraterritorial organisations and bodies,0.01
U99.0.0,Activities of extraterritorial organisations and bodies,0.01
